日语,和制汉字,简体中文,繁体中文
出願,出愿,报名,報名
出願,出愿,报考,報考
受験,受验,参加考试,參加考試
願書,愿书,申请表,申請表
学部,学部,学院,學院
学部,学部,本科,本科
学部,学部,系,系
学科,学科,学科,學科
学科,学科,专业,專業
専攻,专攻,专业,專業
専攻,专攻,系,系
成績証明書,成绩证明书,成绩证明,成績證明
卒業証明書,卒业证明书,毕业证明,畢業證明
大学院,大学院,研究生院,研究生院
博士後期,博士后期,博士,博士
博士前期,博士前期,硕士,碩士
修士,修士,硕士,碩士
採点,采点,批改,批改
採点,采点,评分,評点
成績,成绩,成绩,成績
面接,面接,面试,面試
志望理由書,志望理由书,志愿理由书,志願理由書
授業料,授業料,学费,學費
入学金,入学金,入学金,入學金
問題集,问题集,习题集,習題集
提出,提出,提交,提交
締切,締切,截止,截止
届出,届出,申报,申報
登録,登録,注册,註冊
滞在,滞在,停留,停留
在留資格,在留资格,在留资格,在留資格
在留カード,在留卡,在留卡,在留卡
受給,受给,领取,領取
支給,支给,发放,發放
時間割,时间割,课程表,課程表
同窓会,同窗会,校友会,校友會
検定,检定,等级考试,檢定
合否通知,合否通知,合格与否通知,合格與否通知
見学,见学,参观,參觀
編入,编入,插班,編入
進級,进级,升年级,升年級
留年,留年,留级,留級
再試験,再试验,补考,補考
言語学,言语学,语言学,語言學
情報学,情报学,计算机科学,資訊學
情報学,情报学,信息科学,資訊學
情報工学,情报工学,计算机工程,資訊工程
工学,工学,工程学,工程學
機械工学,机械工学,机械工程,機械工程
電気工学,电气工学,电气工程,電氣工程
電子工学,电子工学,电子工程,電子工程
化学工学,化学工学,化学工程,化學工程
材料工学,材料工学,材料工程,材料工程
航空宇宙工学,航空宇宙工学,航空航天工程,航空航天工程
エネルギー工学,能源工学,能源工程,能源工程
原子力工学,原子力工学,核能工程,核能工程
データ科学,数据科学,数据科学,數據科學
人工知能学,人工知能学,人工智能学,人工智能學
ロボット工学,机器人工学,机器人工程,機器人工程
バイオ工学,生物工学,生物工程,生物工程
バイオインフォマティクス,生物信息学,生物信息学,生物資訊學
スポーツ科学,体育科学,运动科学,運動科學
メディア学,媒体学,媒体学,媒體學
映像学,映像学,影像学,影像學
デザイン学,设计学,设计学,設計學
建築デザイン学,建筑设计学,建筑设计学,建築設計學
ファッション学,时尚学,时尚学,時尚學
文化学,文化学,文化学,文化學
人間科学,人间科学,人类科学,人類科學
人間環境学,人间环境学,人类环境学,人類環境學
情報社会学,情报社会学,信息社会学,資訊社會學
スポーツ,体育,体育,體育